

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 22survey.b   26 III24
/datum  52000.00
/ 060.3316903   015.5070749 
/UTC+01
/33V
/GPS datum WGS84 
/000A09BA
/no AC filter
/12.5V
/tune initialize Y auto-tune Y 049.3uT
/115200bps
/time nT sq 
100650.0  51765.11 99 
100655.0  51764.94 99 
100700.0  51764.89 99 
100705.0  51764.97 99 
100710.0  51765.01 99 
100715.0  51764.78 99 
100720.0  51764.86 99 
100725.0  51764.95 99 
100730.0  51764.92 99 
100735.0  51764.95 99 
100740.0  51764.92 99 
100745.0  51764.90 99 
100750.0  51764.84 99 
100755.0  51764.91 99 
100800.0  51764.81 99 
100805.0  51764.85 99 
100810.0  51764.81 99 
100815.0  51764.93 99 
100820.0  51764.89 99 
100825.0  51764.81 99 
100830.0  51764.77 99 
100835.0  51764.83 99 
100840.0  51764.79 99 
100845.0  51764.69 99 
100850.0  51764.64 99 
100855.0  51764.59 99 
100900.0  51764.56 99 
100905.0  51764.57 99 
100910.0  51764.73 99 
100915.0  51764.58 99 
100920.0  51764.43 99 
100925.0  51764.44 99 
100930.0  51764.46 99 
100935.0  51764.44 99 
100940.0  51764.54 99 
100945.0  51764.44 99 
100950.0  51764.47 99 
100955.0  51764.29 99 
101000.0  51764.30 99 
101005.0  51764.36 99 
101010.0  51764.32 99 
101015.0  51764.35 99 
101020.0  51764.42 99 
101025.0  51764.27 99 
101030.0  51764.19 99 
101035.0  51764.17 99 
101040.0  51764.11 99 
101045.0  51764.06 99 
101050.0  51764.04 99 
101055.0  51764.17 99 
101100.0  51764.10 99 
101105.0  51764.08 99 
101110.0  51763.94 99 
101115.0  51763.97 99 
101120.0  51764.00 99 
101125.0  51764.09 99 
101130.0  51764.06 99 
101135.0  51763.99 99 
101140.0  51763.96 99 
101145.0  51764.10 99 
101150.0  51764.13 99 
101155.0  51764.11 99 
101200.0  51763.99 99 
101205.0  51764.08 99 
101210.0  51764.04 99 
101215.0  51764.05 99 
101220.0  51763.80 99 
101225.0  51763.80 99 
101230.0  51763.75 99 
101235.0  51763.69 99 
101240.0  51763.71 99 
101245.0  51763.59 99 
101250.0  51763.61 99 
101255.0  51763.62 99 
101300.0  51763.76 99 
101305.0  51763.61 99 
101310.0  51763.62 99 
101315.0  51763.67 99 
101320.0  51763.66 99 
101325.0  51763.68 99 
101330.0  51763.89 99 
101335.0  51763.86 99 
101340.0  51763.85 99 
101345.0  51763.77 99 
101350.0  51763.80 99 
101355.0  51763.60 99 
101400.0  51763.65 99 
101405.0  51763.66 99 
101410.0  51763.67 99 
101415.0  51763.61 99 
101420.0  51763.62 99 
101425.0  51763.76 99 
101430.0  51763.63 99 
101435.0  51763.56 99 
101440.0  51763.53 99 
101445.0  51763.69 99 
101450.0  51763.76 99 
101455.0  51763.63 99 
101500.0  51763.38 99 
101505.0  51763.43 99 
101510.0  51763.54 99 
101515.0  51763.52 99 
101520.0  51763.41 99 
101525.0  51763.17 99 
101530.0  51762.92 99 
101535.0  51763.13 99 
101540.0  51763.26 99 
101545.0  51763.16 99 
101550.0  51763.08 99 
101555.0  51762.95 99 
101600.0  51763.08 99 
101605.0  51763.15 99 
101610.0  51763.05 99 
101615.0  51763.11 99 
101620.0  51762.97 99 
101625.0  51763.19 99 
101630.0  51763.28 99 
101635.0  51763.27 99 
101640.0  51763.29 99 
101645.0  51763.06 99 
101650.0  51762.96 99 
101655.0  51762.95 99 
101700.0  51762.92 99 
101705.0  51762.95 99 
101710.0  51762.77 99 
101715.0  51762.73 99 
101720.0  51762.57 99 
101725.0  51762.54 99 
101730.0  51762.60 99 
101735.0  51762.41 99 
101740.0  51762.54 99 
101745.0  51762.54 99 
101750.0  51762.61 99 
101755.0  51762.70 99 
101800.0  51762.57 99 
101805.0  51762.51 99 
101810.0  51762.53 99 
101815.0  51762.44 99 
101820.0  51762.45 99 
101825.0  51762.48 99 
101830.0  51762.40 99 
101835.0  51762.48 99 
101840.0  51762.53 99 
101845.0  51762.60 99 
101850.0  51762.48 99 
101855.0  51762.45 99 
101900.0  51762.56 99 
101905.0  51762.68 99 
101910.0  51762.86 99 
101915.0  51762.81 99 
101920.0  51762.87 99 
101925.0  51763.09 99 
101930.0  51763.03 99 
101935.0  51763.20 99 
101940.0  51763.23 99 
101945.0  51763.13 99 
101950.0  51763.19 99 
101955.0  51763.11 99 
102000.0  51763.08 99 
102005.0  51763.19 99 
102010.0  51763.05 99 
102015.0  51762.94 99 
102020.0  51763.04 99 
102025.0  51763.01 99 
102030.0  51762.99 99 
102035.0  51762.93 99 
102040.0  51763.05 99 
102045.0  51762.89 99 
102050.0  51762.99 99 
102055.0  51762.90 99 
102100.0  51762.84 99 
102105.0  51762.82 99 
102110.0  51762.94 99 
102115.0  51762.96 99 
102120.0  51762.85 99 
102125.0  51762.90 99 
102130.0  51763.04 99 
102135.0  51763.17 99 
102140.0  51763.27 99 
102145.0  51763.30 99 
102150.0  51763.30 99 
102155.0  51763.39 99 
102200.0  51763.53 99 
102205.0  51763.44 99 
102210.0  51763.32 99 
102215.0  51763.34 99 
102220.0  51763.30 99 
102225.0  51763.41 99 
102230.0  51763.31 99 
102235.0  51763.14 99 
102240.0  51763.14 99 
102245.0  51763.06 99 
102250.0  51763.20 99 
102255.0  51762.99 99 
102300.0  51762.82 99 
102305.0  51762.75 99 
102310.0  51762.68 99 
102315.0  51762.75 99 
102320.0  51762.66 99 
102325.0  51762.56 99 
102330.0  51762.62 99 
102335.0  51762.64 99 
102340.0  51762.69 99 
102345.0  51762.59 99 
102350.0  51762.49 99 
102355.0  51762.61 99 
102400.0  51762.77 99 
102405.0  51762.74 99 
102410.0  51762.71 99 
102415.0  51762.87 99 
102420.0  51762.88 99 
102425.0  51762.98 99 
102430.0  51762.93 99 
102435.0  51763.00 99 
102440.0  51763.02 99 
102445.0  51763.24 99 
102450.0  51763.32 99 
102455.0  51763.35 99 
102500.0  51763.31 99 
102505.0  51763.37 99 
102510.0  51763.47 99 
102515.0  51763.53 99 
102520.0  51763.47 99 
102525.0  51763.47 99 
102530.0  51763.32 99 
102535.0  51763.44 99 
102540.0  51763.56 99 
102545.0  51763.65 99 
102550.0  51763.57 99 
102555.0  51763.52 99 
102600.0  51763.58 99 
102605.0  51763.58 99 
102610.0  51763.74 99 
102615.0  51763.60 99 
102620.0  51763.72 99 
102625.0  51763.78 99 
102630.0  51763.66 99 
102635.0  51763.58 99 
102640.0  51763.63 99 
102645.0  51763.70 99 
102650.0  51763.64 99 
102655.0  51763.68 99 
102700.0  51763.80 99 
102705.0  51763.57 99 
102710.0  51763.50 99 
102715.0  51763.48 99 
102720.0  51763.59 99 
102725.0  51763.61 99 
102730.0  51763.48 99 
102735.0  51763.48 99 
102740.0  51763.46 99 
102745.0  51763.52 99 
102750.0  51763.49 99 
102755.0  51763.31 99 
102800.0  51763.32 99 
102805.0  51763.29 99 
102810.0  51763.25 99 
102815.0  51763.39 99 
102820.0  51763.29 99 
102825.0  51763.25 99 
102830.0  51763.24 99 
102835.0  51763.24 99 
102840.0  51763.44 99 
102845.0  51763.29 99 
102850.0  51763.13 99 
102855.0  51763.19 99 
102900.0  51763.08 99 
102905.0  51763.16 99 
